animal,Species,Location,Vision,Overlap
Cebus_olivaceus,Cebus_olivaceus,Tail,Tetra,yes
Cebus_olivaceus,Cebus_olivaceus,Tail,Tri,yes
Cebus_olivaceus,Cebus_olivaceus,Tail,Di,yes
Saimiri_sciureus,Saimiri_sciureus,Back,Tetra,no
Saimiri_sciureus,Saimiri_sciureus,Back,Tri,no
Saimiri_sciureus,Saimiri_sciureus,Back,Di,yes
Saimiri_sciureus,Saimiri_sciureus,Belly,Tetra,yes
Saimiri_sciureus,Saimiri_sciureus,Belly,Tri,yes
Saimiri_sciureus,Saimiri_sciureus,Belly,Di,yes
Saimiri_sciureus,Saimiri_sciureus,Cap,Tetra,no
Saimiri_sciureus,Saimiri_sciureus,Cap,Tri,yes
Saimiri_sciureus,Saimiri_sciureus,Cap,Di,yes
Saimiri_sciureus,Saimiri_sciureus,Tail,Tetra,yes
Saimiri_sciureus,Saimiri_sciureus,Tail,Tri,yes
Saimiri_sciureus,Saimiri_sciureus,Tail,Di,yes
Alouatta_caraya,Alouatta_caraya,Back,Tetra,yes
Alouatta_caraya,Alouatta_caraya,Back,Tri,yes
Alouatta_caraya,Alouatta_caraya,Back,Di,yes
Alouatta_caraya,Alouatta_caraya,Belly,Tetra,yes
Alouatta_caraya,Alouatta_caraya,Belly,Tri,yes
Alouatta_caraya,Alouatta_caraya,Belly,Di,yes
Alouatta_caraya,Alouatta_caraya,Cap,Tetra,yes
Alouatta_caraya,Alouatta_caraya,Cap,Tri,yes
Alouatta_caraya,Alouatta_caraya,Cap,Di,yes
Alouatta_palliata,Alouatta_palliata,Back,Tetra,yes
Alouatta_palliata,Alouatta_palliata,Back,Tri,yes
Alouatta_palliata,Alouatta_palliata,Back,Di,yes
Alouatta_palliata,Alouatta_palliata,Cap,Tetra,yes
Alouatta_palliata,Alouatta_palliata,Cap,Tri,yes
Alouatta_palliata,Alouatta_palliata,Cap,Di,yes
Alouatta_palliata,Alouatta_palliata,Tail,Tetra,yes
Alouatta_palliata,Alouatta_palliata,Tail,Tri,yes
Alouatta_palliata,Alouatta_palliata,Tail,Di,yes
Alouatta_seniculus,Alouatta_seniculus,Back,Tetra,yes
Alouatta_seniculus,Alouatta_seniculus,Back,Tri,yes
Alouatta_seniculus,Alouatta_seniculus,Back,Di,yes
Alouatta_seniculus,Alouatta_seniculus,Belly,Tetra,yes
Alouatta_seniculus,Alouatta_seniculus,Belly,Tri,yes
