Tx,status
Eubalaena_australis,CR
Eubalaena_glacialis,EN
Eubalaena_japonica,CR
Eudorcas_rufifrons,VU
Eudorcas_thomsonii,NT
Gazella_bennettii,LC
Gazella_cuvieri,EN
Gazella_dorcas,VU
Gazella_gazella,VU
Gazella_leptoceros,EN
Gazella_spekei,EN
Gazella_subgutturosa,VU
Giraffa_camelopardalis,EN
Hemitragus_jemlahicus,NT
Hippocamelus_antisensis,VU
Hippocamelus_bisulcus,EN
Hippopotamus_amphibius,VU
Hippotragus_equinus,LC
Hippotragus_niger,CR
Hydropotes_inermis,VU
Hyemoschus_aquaticus,LC
Hylochoerus_meinertzhageni,LC
Hyperoodon_planifrons,LC
Kobus_ellipsiprymnus,NT
Kobus_kob,LC
Kobus_leche,EX
Kobus_megaceros,EN
Kobus_vardonii,NT
Lagenodelphis_hosei,LC
Lagenorhynchus_acutus,LC
Lagenorhynchus_albirostris,LC
Lagenorhynchus_cruciger,LC
Lagenorhynchus_obliquidens,LC
Lama_guanicoe,LC
Lipotes_vexillifer,CR
Lissodelphis_borealis,LC
Litocranius_walleri,NT
Madoqua_guentheri,LC
Madoqua_kirkii,LC
Madoqua_saltiana,LC
Mazama_bororo,VU
Mazama_nana,VU
Mazama_nemorivaga,LC
Megaptera_novaeangliae,EN
Monodon_monoceros,NT
Moschiola_indica,LC
Moschiola_meminna,LC
Moschus_berezovskii,EN
Moschus_chrysogaster,EN
Moschus_fuscus,EN
Moschus_leucogaster,EN
Moschus_moschiferus,VU
Muntiacus_crinifrons,VU
Muntiacus_muntjak,LC
Muntiacus_reevesi,LC
Muntiacus_vaginalis,LC
Muntiacus_vuquangensis,EN
Naemorhedus_baileyi,VU
Naemorhedus_caudatus,VU
Naemorhedus_goral,NT
Naemorhedus_griseus,VU
Nanger_dama,CR
Nanger_granti,LC
Nanger_soemmerringii,VU
Neophocaena_phocaenoides,VU
Neotragus_moschatus,LC
Neotragus_pygmaeus,LC
Nilgiritragus_hylocrius,EN
Odocoileus_hemionus,LC
Odocoileus_virginianus,LC
Okapia_johnstoni,EN
Orcaella_brevirostris,CR
Orcaella_heinsohni,NT
Oreamnos_americanus,LC
Oreotragus_oreotragus,EN
Oryx_beisa,NT
Oryx_dammah,EW
Oryx_leucoryx,VU
Ourebia_ourebi,EX
Ovibos_moschatus,LC
Ovis_ammon,NT
Ovis_canadensis,LC
Ovis_dalli,LC
Ovis_nivicola,LC
Ovis_orientalis,VU
Ozotoceros_bezoarticus,NT
Panthera_leo,CR
Panthera_tigris,EN
Pecari_tajacu,LC
Pelea_capreolus,LC
Peponocephala_electra,LC
Phacochoerus_aethiopicus,LC
Phacochoerus_africanus,LC
Philantomba_maxwellii,LC
Philantomba_monticola,LC
Phocoena_phocoena,CR
Phocoena_sinus,CR
Phocoenoides_dalli,LC
Physeter_macrocephalus,EN
Platanista_gangetica,EN
Pontoporia_blainvillei,VU
Potamochoerus_larvatus,LC
Potamochoerus_porcus,LC
Procapra_gutturosa,LC
Procapra_picticaudata,NT
Procapra_przewalskii,EN
Przewalskium_albirostris,VU
Pseudois_nayaur,EN
Pseudois_schaeferi,EN
Pseudoryx_nghetinhensis,CR
Pudu_puda,VU
Rangifer_tarandus,LC
Raphicerus_campestris,LC
Raphicerus_melanotis,LC
Raphicerus_sharpei,LC
Redunca_arundinum,LC
Redunca_fulvorufula,VU
Redunca_redunca,LC
Rhinoceros_sondaicus,CR
Rhinoceros_unicornis,VU
Rucervus_duvaucelii,VU
Rucervus_eldii,EN
Rucervus_schomburgki,EX
Rupicapra_pyrenaica,LC
Rupicapra_rupicapra,LC
Rusa_timorensis,VU
Rusa_unicolor,VU
Saiga_tatarica,CR
Sousa_chinensis,CR
Stenella_attenuata,LC
Stenella_coeruleoalba,VU
Stenella_longirostris,VU
Steno_bredanensis,LC
Sus_barbatus,VU
Sus_cebifrons,CR
Sus_celebensis,NT
Sus_philippensis,VU
Sus_scrofa,LC
Sus_verrucosus,EN
Sylvicapra_grimmia,LC
Syncerus_caffer,LC
Tapirus_bairdii,EN
Tapirus_indicus,EN
Tapirus_pinchaque,EN
Tapirus_terrestris,VU
Tayassu_pecari,VU
Tetracerus_quadricornis,VU
Tragelaphus_angasii,LC
Tragelaphus_buxtoni,EN
